rank,state,loss_usd,adm1_code
1,California,1393628996,USA-3521
2,Texas,738583341,USA-3536
3,Florida,584746970,USA-3542
4,New York,375087857,USA-3559
5,Illinois,272633678,USA-3546
6,District of Columbia,262640821,USA-3556
7,New Jersey,236721074,USA-3558
8,Pennsylvania,218642276,USA-3560
9,Washington,204694032,USA-3519
10,Massachusetts,201530349,USA-3513
11,Georgia,197647537,USA-3543
12,Nevada,185521892,USA-3523
13,Arizona,177578809,USA-3520
14,North Carolina,174411615,USA-3549
15,Virginia,158769093,USA-3552
16,Maryland,132730401,USA-3557
17,Colorado,130631488,USA-3522
18,Michigan,126330606,USA-3562
19,Ohio,123379667,USA-3550
20,Missouri,93029140,USA-3531
21,Minnesota,91614693,USA-3514
22,Tennessee,82748140,USA-3551
23,Puerto Rico,71185851,
24,Oregon,68159115,USA-3525
25,Utah,68133250,USA-3526
26,Wisconsin,67513795,USA-3553
27,South Carolina,60529485,USA-3545
28,Connecticut,59749544,USA-3537
29,Alabama,51273598,USA-3541
30,Louisiana,49306020,USA-3535
31,Kansas,49045398,USA-3530
32,Indiana,48009883,USA-3547
33,New Mexico,43269446,USA-3524
34,Oklahoma,37752198,USA-3533
35,Wyoming,36386737,USA-3527
36,Idaho,35149916,USA-3518
37,Kentucky,32907797,USA-3548
38,Hawaii,24893821,USA-3517
39,Nebraska,23094744,USA-3532
40,New Hampshire,22699416,USA-3538
41,Arkansas,20654583,USA-3528
42,Iowa,20350712,USA-3529
43,Delaware,19973180,USA-3555
44,Maine,17137660,USA-3561
45,Mississippi,14505794,USA-3544
46,South Dakota,13811508,USA-3534
47,Montana,12900561,USA-3515
48,Rhode Island,12556877,USA-3539
49,Alaska,11780664,USA-3563
50,North Dakota,7700246,USA-3516
51,West Virginia,7686156,USA-3554
52,Vermont,4265121,USA-3540
53,U.S. Minor Outlying Islands,874714,
54,Guam,751009,
55,"Virgin Islands, U.S.",324580,
56,American Samoa,145182,
57,Northern Mariana Islands,16946,
